polled_at,chart_id,chart_type,series,label,value,servers_reporting
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T06:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T07:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T07:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T08:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T08:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T09:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T09:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T10:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T10:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T11:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T11:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T12:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T12:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T13:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T13:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T14:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T14:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T15:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T15:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T16:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T16:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T17:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T17:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T18:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T18:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T19:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T19:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T20:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T20:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T21:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T21:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T22:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T22:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T23:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-02T23:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T00:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T00:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T01:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T01:30:00+00:00,0,
